index,x,y,z,maintype,celltype,leiden
x2_35_0_bc0013,2.23321,-0.91565627,-2.4049892,Excitatory,ExcL4,3
x2_35_0_bc0014,1.6640615,0.7843831,-2.001454,Excitatory,ExcL5_3,9
x2_35_0_bc0016,0.6689536,0.3130121,-2.2361724,Excitatory,ExcL5_2,9
x2_35_0_bc0017,0.69050777,2.6828442,-1.4216857,Excitatory,ExcL6,5
x2_35_0_bc0018,2.3895826,0.45069766,-1.9440502,Excitatory,ExcL5_3,9
x2_35_0_bc0019,-1.1921415,-3.464453,-1.9618714,Excitatory,ExcL23,7
x2_35_0_bc0020,0.8340714,0.71847814,-1.5238502,Excitatory,ExcL5_2,9
x2_35_0_bc0021,0.16365509,2.622375,-1.7420639,Excitatory,ExcL6,5
x2_35_0_bc0022,1.4570482,5.9901595,-1.2997963,Interneurons,Int_Pv,14
x2_35_0_bc0023,-0.06737276,2.4070199,-1.9285374,Excitatory,ExcL6,5
x2_35_0_bc0024,1.9260924,0.61445695,-1.7275289,Excitatory,ExcL5_3,9
x2_35_0_bc0025,0.9233675,-2.284847,0.13652077,Excitatory,ExcL5_1,8
x2_35_0_bc0026,2.0473359,-0.82118666,-2.7074306,nan,nan,3
x2_35_0_bc0027,1.6207435,5.929264,-0.63726306,nan,nan,14
x2_35_0_bc0028,1.1349993,-2.4244657,-0.4134026,Excitatory,ExcL5_1,8
x2_35_0_bc0029,1.1915553,0.29645255,-1.7781007,nan,nan,5
x2_35_0_bc0030,2.1978161,-0.92033607,-1.854413,nan,nan,3
x2_35_0_bc0031,0.8859144,-2.8058033,-0.025495458,Excitatory,ExcL5_1,8
x2_35_0_bc0032,0.83027464,2.7100346,-1.3070468,Excitatory,ExcL6,5
x2_35_0_bc0033,0.73461753,-0.39398238,-1.5606573,Excitatory,ExcL5_1,9
x2_35_0_bc0034,2.1205728,0.6390137,-1.5208547,Excitatory,ExcL5_3,9
x2_35_0_bc0036,0.91304517,1.2573684,-1.8945268,Excitatory,ExcL4,5
x2_35_0_bc0037,2.227897,0.033383764,-1.6109197,Excitatory,ExcL5_3,9
x2_35_0_bc0038,2.2077394,-0.96460575,-2.0850601,Excitatory,ExcL4,3
x2_35_0_bc0039,1.779594,-2.6059105,-1.7524693,Excitatory,ExcL4,3
x2_35_0_bc0040,2.5702066,-0.9626154,-1.362486,Excitatory,ExcL5_1,9
x2_35_0_bc0041,2.036338,0.4503199,-1.3945782,Excitatory,ExcL5_3,9
x2_35_0_bc0042,0.9898872,-2.1653237,0.82558656,Excitatory,ExcL5_1,8
x2_35_0_bc0043,-2.9549718,2.7837622,5.2496824,nan,nan,27
x2_35_0_bc0044,1.5156479,-3.1932611,0.18091348,Excitatory,ExcL5_1,8
x2_35_0_bc0045,0.1993764,0.8571657,-1.6038433,nan,nan,9
x2_35_0_bc0046,-1.2727892,-3.6896482,-1.4295396,Excitatory,ExcL23,7
x2_35_0_bc0047,-1.1038988,-3.8162866,-2.2538881,Excitatory,ExcL23,7
x2_35_0_bc0048,0.5923921,0.36842033,-1.1743267,Excitatory,ExcL5_2,9
x2_35_0_bc0049,1.208175,-2.8333852,0.8530982,Excitatory,ExcL5_1,8
x2_35_0_bc0050,1.638467,5.994129,-0.38016385,nan,nan,14
x2_35_0_bc0051,-1.44351,2.6647289,-2.309184,Excitatory,ExcL6,5
x2_35_0_bc0052,2.0893185,0.6615862,-2.0181046,Excitatory,ExcL5_3,9
x2_35_0_bc0053,2.1030142,0.5725607,-2.6387813,Excitatory,ExcL5_3,9
x2_35_0_bc0054,0.81103295,-2.4839585,0.84110385,Excitatory,ExcL5_1,8
x2_35_0_bc0055,1.7661636,0.42416373,-1.5200485,Excitatory,ExcL5_3,9
x2_35_0_bc0056,1.9336206,0.93170565,-1.9381531,Excitatory,ExcL5_3,9
x2_35_0_bc0057,1.9636241,-2.9861403,-1.476248,Excitatory,ExcL4,3
x2_35_0_bc0058,1.4791238,0.08565299,-1.3790101,Excitatory,ExcL5_2,9
x2_35_0_bc0059,1.508021,5.81411,-1.4706802,Interneurons,Int_Pv,14
x2_35_0_bc0060,1.381852,-1.878072,0.1837248,Excitatory,ExcL5_1,8
x2_35_0_bc0061,2.3041244,-0.72354233,-2.079518,Excitatory,ExcL4,3
x2_35_0_bc0062,2.0021563,-2.610214,-1.8942528,Excitatory,ExcL4,3
x2_35_0_bc0063,0.8175669,-0.8501955,-1.3878311,nan,nan,9
x2_35_0_bc0064,-1.703512,-3.6333768,-1.2271975,Excitatory,ExcL23,7
x2_35_0_bc0065,-0.7561588,-3.2617114,-1.7335467,Excitatory,ExcL23,7
x2_35_0_bc0066,-1.1287566,-3.560983,-1.689089,Excitatory,ExcL23,7
x2_35_0_bc0067,-0.9416223,2.789902,0.12661725,nan,nan,25
x2_35_0_bc0068,1.170435,-1.9381095,0.05392161,Excitatory,ExcL5_1,8
x2_35_0_bc0069,1.8794546,-3.4240496,6.660395,nan,nan,12
x2_35_0_bc0070,1.2308738,5.565596,-1.3370575,Interneurons,Int_Pv,14
x2_35_0_bc0071,-1.9702348,-2.7173798,0.08297497,Excitatory,ExcL23,7
x2_35_0_bc0072,1.3968807,5.7180195,-1.4471331,Interneurons,Int_Pv,14
x2_35_0_bc0073,1.2289691,4.388894,-1.1216094,Interneurons,Int_Pv,14
x2_35_0_bc0074,-1.102285,2.535086,-1.870915,Excitatory,ExcL6,5
x2_35_0_bc0075,0.10809218,2.7461052,-2.0608187,Excitatory,ExcL6,5
x2_35_0_bc0076,2.010139,0.8445423,-1.4941571,Excitatory,ExcL5_3,9
x2_35_0_bc0077,-0.9388246,-3.121889,-0.530342,Excitatory,ExcL23,7
x2_35_0_bc0078,-0.61024946,-3.2788332,-1.6206532,Excitatory,ExcL23,7
x2_35_0_bc0079,1.3279219,5.6852956,-1.5985123,Interneurons,Int_Pv,14
x2_35_0_bc0080,-1.2907213,-3.4668589,-1.5308714,Excitatory,ExcL23,7
x2_35_0_bc0081,1.3354952,5.731243,-1.499629,Interneurons,Int_Pv,14
x2_35_0_bc0082,-0.66641873,-0.17975062,3.8598232,nan,nan,24
x2_35_0_bc0083,0.7044562,0.6505758,-1.3943048,Excitatory,ExcL5_2,9
x2_35_0_bc0084,2.1774533,0.12347016,-1.2708461,Excitatory,ExcL5_3,9
x2_35_0_bc0085,-1.8063031,-2.9314945,-0.48424163,Excitatory,ExcL23,7
x2_35_0_bc0086,1.7398642,-1.7852103,-0.35661116,Excitatory,ExcL5_1,8
x2_35_0_bc0087,1.4353441,-1.7920268,-0.36663416,Excitatory,ExcL5_1,8
x2_35_0_bc0088,1.390942,-2.6572735,-1.3860403,Excitatory,ExcL4,3
x2_35_0_bc0089,1.7753488,-3.5127995,6.820341,nan,nan,12
x2_35_0_bc0090,1.4030354,5.7306147,-1.3504905,Interneurons,Int_Pv,14
x2_35_0_bc0091,0.08312873,2.130727,-2.505368,Excitatory,ExcL6,5
x2_35_0_bc0092,-1.329205,2.697478,-2.3552003,Excitatory,ExcL6,5
x2_35_0_bc0093,0.29974535,-1.287818,0.8632014,Excitatory,ExcL5_1,8
x2_35_0_bc0094,-1.3561758,-3.6838028,-0.97577626,Excitatory,ExcL23,7
x2_35_0_bc0095,-1.7314583,-3.1120226,-0.41605026,Excitatory,ExcL23,7
x2_35_0_bc0096,-1.6266903,-3.428932,-0.7964781,Excitatory,ExcL23,7
